Nazwisko aktualne,Liczba
LISIECKI,6117
WILCZEK,6085
SOŁTYS,6048
DROZDOWSKI,6047
STELMACH,6047
JURKIEWICZ,6032
SOBIERAJ,6032
URBAŃCZYK,6022
WOŹNY,6020
TARNOWSKI,6013
SZCZEŚNIAK,6004
TWARDOWSKI,5997
SKOCZYLAS,5994
JAKUBIAK,5990
PILARSKI,5988
PAKUŁA,5987
RACZYŃSKI,5987
ANDRZEJCZAK,5986
NOWACZYK,5984
STRZELCZYK,5983
WASIAK,5971
BARTOSIK,5963
KUBICA,5956
DZIUBA,5952
CISZEWSKI,5943
GĄSIOROWSKI,5931
KĘDZIORA,5917
DUBIEL,5865
MIERZEJEWSKI,5848
BOBER,5836
BILSKI,5821
GOŁĄB,5819
GUZIK,5805
GÓRNIAK,5777
MAJCHER,5772
STANEK,5750
KOPCZYŃSKI,5740
MILCZAREK,5733
GÓRAL,5691
CHOLEWA,5681
SZWED,5681
WIĘCEK,5678
FLOREK,5674
STOLARCZYK,5648
STASZEWSKI,5647
KRUPIŃSKI,5642
MOTYKA,5628
SŁOWIŃSKI,5616
MISZTAL,5609
RUSIN,5600
BURY,5599
JAŚKIEWICZ,5590
MATUSZAK,5585
GRZYWACZ,5576
KASZUBA,5568
WOLAK,5567
FLORCZAK,5563
BIAŁY,5560
RUCIŃSKI,5560
KUCHTA,5559
KAPUSTA,5548
KUC,5546
PYTEL,5538
KULIG,5534
SIEDLECKI,5526
KOZA,5495
SIERADZKI,5495
KACZMARSKI,5491
BOŻEK,5489
JEZIERSKI,5486
PACZKOWSKI,5479
PROKOP,5478
NOGA,5477
DOMINIAK,5474
MICHAŁEK,5459
MALICKI,5454
OLCZAK,5451
ZWOLIŃSKI,5451
SKÓRA,5444
JANKOWIAK,5440
ZAGÓRSKI,5439
GWÓŹDŹ,5436
KĘPA,5435
WOJTAS,5424
GAŁKA,5407
ADAMUS,5402
SITEK,5392
MODZELEWSKI,5391
ŚWIERCZYŃSKI,5391
IWAŃSKI,5389
DUDZIAK,5386
STĘPNIAK,5385
PŁONKA,5380
SOCHACKI,5378
SZYSZKA,5360
BIELAK,5357
BIEŃKOWSKI,5357
DEC,5357
JACKOWSKI,5344
SŁAWIŃSKI,5333
JANUSZ,5325
DOBRZYŃSKI,5318
CZECHOWSKI,5313
KNAPIK,5309
DUDZIK,5294
PAWLIKOWSKI,5291
PARTYKA,5281
MAŃKOWSKI,5276
LIPKA,5261
BRODA,5256
KOLASA,5254
STACHURA,5254
JURKOWSKI,5248
FILIPOWICZ,5242
KWIECIŃSKI,5238
WOŚ,5213
ROSA,5198
MROCZKOWSKI,5185
SZCZERBA,5166
STANISŁAWSKI,5159
MAJKA,5155
ADAMCZAK,5150
WŁODARSKI,5144
SKALSKI,5143
MAŚLANKA,5140
ADAMEK,5137
SZATKOWSKI,5133
TRZECIAK,5131
KITA,5128
PASZKOWSKI,5116
MOLENDA,5108
KOWALCZUK,5104
SKOWRONEK,5090
PUCHALSKI,5082
KIEŁBASA,5074
CHMURA,5071
CHOJNOWSKI,5065
KRUSZEWSKI,5059
SALAMON,5058
ZDUNEK,5056
MICHALCZYK,5055
ŻUK,5043
KOBUS,5033
KOTOWSKI,5030
WYSZYŃSKI,5020
AUGUSTYN,5013
BUCZYŃSKI,5012
MROZEK,5012
WARCHOŁ,4958
KOGUT,4957
PIECHOTA,4956
JANUSZEWSKI,4955
ADAMIAK,4944
DRABIK,4939
LENART,4936
NIEMCZYK,4935
BANASIK,4919
MARCHEWKA,4915
KOŁAKOWSKI,4912
ROBAK,4903
DRÓŻDŻ,4900
NIEDZIELSKI,4896
CHUDY,4892
GŁOGOWSKI,4892
TOMALA,4890
STOLARSKI,4877
BUDZYŃSKI,4871
GRZESIK,4853
MACIĄG,4853
PILCH,4845
KAWA,4839
KŁOSOWSKI,4839
SOŁTYSIAK,4838
KOPER,4835
TOKARZ,4833
WYPYCH,4829
JARZĄBEK,4828
PIŁAT,4825
DĄBKOWSKI,4823
NIEDŹWIECKI,4812
ADAMOWICZ,4808
GŁĄB,4805
BĄKOWSKI,4799
CHUDZIK,4799
PRZYBYŁ,4788
KASPEREK,4781
ŻYŁA,4779
JAGIELSKI,4766
PORĘBSKI,4761
MIŚKIEWICZ,4760
CZEKAJ,4758
STAŃCZAK,4758
WIĄCEK,4758
JURCZAK,4757
FRĄTCZAK,4756
JAROS,4753
KALISZ,4753
KOS,4748
SURMA,4748
RUDZIŃSKI,4738
KANIEWSKI,4737
ZIĘTEK,4733
GORCZYCA,4706
BARTNIK,4697
TRACZ,4696
BUCZKOWSKI,4688
GADOMSKI,4688
RYŚ,4681
MALIK,4672
KUŹMA,4666
BALCERZAK,4661
KUCIŃSKI,4657
SOJKA,4643
URBANEK,4640
SZELĄG,4637
STACHURSKI,4626
PIETRUSZKA,4623
GOLEC,4615
CZERNIAK,4612
BIAŁKOWSKI,4598
BŁASZCZAK,4597
PRUS,4596
KOPACZ,4592
PIOTROWICZ,4584
WOLIŃSKI,4584
KORZENIOWSKI,4582
MOSKAL,4566
ZABŁOCKI,4557
RUDZKI,4552
RYBARCZYK,4551
STACHOWICZ,4547
ŚLĘZAK,4538
TRELA,4537
RUDNIK,4534
WARZECHA,4533
URBANOWICZ,4527
LESIAK,4525
GRUDZIEŃ,4520
OLCZYK,4517
SĘK,4509
SZUBA,4505
FURMAN,4496
RADECKI,4496
KOSTECKI,4491
KULIŃSKI,4484
ZIMNY,4483
SZYMKOWIAK,4481
MAGIERA,4476
KOSOWSKI,4472
JURCZYK,4463
KMIEĆ,4463
KUJAWSKI,4460
OLEKSY,4451
OSSOWSKI,4450
BUDZIŃSKI,4449
BIELSKI,4448
SKORUPA,4447
PELC,4442
WOŹNICA,4435
WOJTASIK,4433
NAPIERAŁA,4427
KAWECKI,4421
TOMASIK,4415
PEŁKA,4414
BIELIŃSKI,4411
KOZIK,4410
KRAKOWSKI,4407
PAWLICKI,4403
ALEKSANDROWICZ,4390
SOBOTA,4390
BANASZEK,4386
STAWICKI,4381
KRUCZEK,4376
GRZEŚKOWIAK,4353
MIERZWA,4350
GUT,4337
SOBAŃSKI,4336
ŚMIGIELSKI,4330
ROMAN,4329
WOŁOSZYN,4323
SEKUŁA,4319
ŚWIDER,4308
MACKIEWICZ,4306
POGORZELSKI,4303
WOJTKOWIAK,4297
IZDEBSKI,4278
PIWOWARSKI,4275
MILLER,4258
SZWARC,4258
PIĘTKA,4257
KRASOWSKI,4244
DUSZYŃSKI,4234
NIEDZIELA,4231
RATAJCZYK,4215
JUSZCZYK,4206
KRUKOWSKI,4205
MAKUCH,4201
LITWIN,4179
BOGACZ,4175
GRUDZIŃSKI,4171
MAŃKA,4171
ŚWIĄTKOWSKI,4171
KNAP,4170
JÓŹWIK,4161
SZOT,4159
LORENC,4153
STUDZIŃSKI,4153
ŚLEDŹ,4150
HERMAN,4148
KARCZ,4145
KAWKA,4144
SZAREK,4139
ŻUCHOWSKI,4134
BISKUP,4133
LISZKA,4128
POLAŃSKI,4114
ROSZKOWSKI,4113
FILIP,4108
WOJDA,4103
DROŻDŻ,4096
ŁUKASZEWICZ,4096
SIWIEC,4093
PAPROCKI,4073
ROSZAK,4073
JEZIORSKI,4068
GACEK,4063
RUSEK,4063
WIŚNIOWSKI,4061
KORCZAK,4056
KĘDZIOR,4051
TKACZ,4048
KUSIAK,4045
ROŻEK,4041
JAKUBCZYK,4036
BOBROWSKI,4030
KRÓLAK,4028
KOSMALA,4011
KWIATEK,3999
DYMEK,3998
WRZESIŃSKI,3995
KORZENIEWSKI,3990
GRABARCZYK,3988
RYBKA,3984
SZOPA,3983
GRZYBEK,3981
ADAMIEC,3978
KRASZEWSKI,3976
SIDOR,3972
WACH,3968
SZKUDLAREK,3959
MIELCAREK,3955
KUKLA,3944
GOLA,3943
ROMANIUK,3941
BORYS,3938
NOWIŃSKI,3937
TOKARCZYK,3929
SKONIECZNY,3928
MAZIARZ,3920
MAŁKOWSKI,3918
TUROWSKI,3916
KRUSZYŃSKI,3914
WERNER,3909
SZCZUREK,3905
ŚPIEWAK,3904
GRODZKI,3903
FLAK,3901
KURZAWA,3900
RESZKA,3897
HOFFMANN,3896
SZYMANEK,3896
RZEPECKI,3889
KĘPKA,3875
ROGOZIŃSKI,3875
GĄSIOREK,3869
LEWIŃSKI,3869
SUSKI,3865
BOGDAŃSKI,3864
LIPIEC,3844
STASZAK,3837
PIECH,3836
BARTOSZEK,3835
PERKOWSKI,3835
KAPUŚCIŃSKI,3833
SZELIGA,3825
OLECH,3822
SMOLEŃ,3813
ROKICKI,3809
JANCZAK,3808
PASZKIEWICZ,3807
JAKUBIEC,3798
DZIURA,3795
BUGAJSKI,3788
PLICHTA,3786
PĘKALA,3784
WRZOSEK,3784
KOZAKIEWICZ,3780
AMBROZIAK,3764
OLSZAK,3763
BIAŁECKI,3761
CIOŁEK,3759
KULPA,3758
WAJDA,3753
RACZKOWSKI,3752
SUCHECKI,3751
KAŹMIERSKI,3750
MAJKOWSKI,3750
CZARNOTA,3744
DUTKIEWICZ,3744
DZIKOWSKI,3742
PISAREK,3739
WASIELEWSKI,3737
WOJTOWICZ,3734
SZPAK,3731
WYRZYKOWSKI,3731
KAWALEC,3724
ADAMCZEWSKI,3723
KOKOSZKA,3721
RADZISZEWSKI,3713
BUGAJ,3712
KUPIEC,3706
GŁADYSZ,3688
ROMAŃSKI,3685
LANGE,3683
KOKOT,3678
RODAK,3677
PISZCZEK,3671
KAROLAK,3666
PUCHAŁA,3665
MĄCZKA,3659
BARSZCZ,3657
GOLIŃSKI,3656
WIELGUS,3656
KALIŃSKI,3655
DOLATA,3654
FIGURA,3653
BANASZAK,3650
WOJTASZEK,3649
GOŁĄBEK,3643
KONARSKI,3641
JASKULSKI,3639
KOCHAŃSKI,3632
SUŁKOWSKI,3631
GABRYŚ,3627
SZYMANOWSKI,3624
SOLECKI,3622
BILIŃSKI,3617
BIELA,3612
BOJARSKI,3609
SMOLAREK,3608
BRODOWSKI,3604
STOKŁOSA,3604
ZAPAŁA,3604
OŻÓG,3601
KOLASIŃSKI,3598
ŁACH,3592
FERENC,3591
PŁATEK,3589
WASZKIEWICZ,3588
OSOWSKI,3579
LASEK,3578
GARBACZ,3575
ORZEŁ,3575
PIECHOCKI,3574
CICHOSZ,3573
PIERZCHAŁA,3573
PISKORZ,3573
BALICKI,3569
MACH,3565
KOPROWSKI,3560
CZUBA,3559
BRZESKI,3555
CHROBAK,3554
POTOCKI,3551
SZYMANIAK,3551
STĘPNIEWSKI,3548
PASEK,3545
SZCZYGIELSKI,3541
TRACZYK,3541
ŚWIERCZEK,3537
BERNAT,3536
SUROWIEC,3536
RÓG,3535
MĄDRY,3532
ZBOROWSKI,3529
DOLIŃSKI,3526
FRANCZAK,3526
KEMPA,3526
PLEWA,3523
BUREK,3520
KOSTKA,3520
SCHMIDT,3518
PARADOWSKI,3514
WDOWIAK,3513
SUDOŁ,3511
PASZEK,3506
JAMRÓZ,3504
GRELA,3503
PIĘTA,3500
OSUCH,3499
FILIPCZAK,3496
LOREK,3496
GRUCA,3493
WAGNER,3484
JAROSZEWSKI,3481
WALCZYK,3480
MATUSIK,3479
BURDA,3475
GÓRALCZYK,3475
BŁOŃSKI,3471
ĆWIK,3471
KRAUZE,3469
ŚWITAŁA,3469
KAPICA,3463
SZADKOWSKI,3463
OKOŃ,3459
ZARĘBSKI,3457
KOZERA,3456
FIGIEL,3455
STACHOWSKI,3453
LACHOWICZ,3451
DRĄG,3450
KWAŚNY,3450
OLEŚ,3450
SALA,3450
WĄSOWSKI,3449
WÓJCIAK,3447
CZAPLIŃSKI,3446
KOŁODZIEJCZAK,3444
ŁAWNICZAK,3444
ŁOŚ,3443
MODRZEJEWSKI,3443
ZAWISTOWSKI,3442
MROWIEC,3441
BROŻEK,3437
GROBELNY,3437
ANTONIAK,3435
WALIGÓRA,3435
WACHOWIAK,3434
BATOR,3431
SKWAREK,3430
MULARCZYK,3428
GRABSKI,3427
WŁOCH,3427
BARON,3426
ĆWIKLIŃSKI,3426
NALEPA,3425
PÓŁTORAK,3422
NIEZGODA,3418
OGÓREK,3416
NADOLNY,3410
MYŚLIWIEC,3408
GAJ,3389
GAZDA,3389
JEDYNAK,3389
GAŁECKI,3381
NADOLSKI,3381
MIŚ,3363
GLIŃSKI,3360
BERNACKI,3356
BIEL,3353
KULIKOWSKI,3350
SITKO,3348
IWANOWSKI,3345
KOZYRA,3345
BOROŃ,3341
KOŚCIELNIAK,3338
MORAWIEC,3334
PANASIUK,3332
DOBRZAŃSKI,3330
MŁYNARSKI,3323
WINNICKI,3322
JASKÓLSKI,3315
ZAWISZA,3314
GRYGIEL,3311
KOCHANOWSKI,3311
BARTNICKI,3309
MAJDA,3309
PASTUSZKA,3308
BŁAŻEJEWSKI,3306
KRÓLIK,3306
KRASKA,3303
BIEŃ,3302
PRZYBYSZEWSKI,3302
KAZIMIERCZAK,3301
GALIŃSKI,3297
KLIMAS,3297
STENCEL,3291
DUSZA,3289
MIECZKOWSKI,3288
SZWEDA,3287
OZGA,3286
KOSTRZEWSKI,3282
KOZICKI,3282
WYDRA,3278
SZCZEPANEK,3275
NOSAL,3271
DOMAGALSKI,3267
KLUSKA,3262
SPYCHAŁA,3258
BOGDAN,3256
ZASADA,3252
BŁASZKIEWICZ,3251
MATCZAK,3249
WIELGOSZ,3248
WEBER,3240
PIETRZYKOWSKI,3239
WCISŁO,3239
BARTOSIEWICZ,3235
GALAS,3235
IWANICKI,3233
KLIMASZEWSKI,3232
SOBOŃ,3229
FRANKIEWICZ,3228
TYMIŃSKI,3226
JANECZEK,3222
STOPA,3222
LEMAŃSKI,3219
ZAWIŚLAK,3215
SKORUPSKI,3209
BUDA,3208
RYBA,3206
WALAS,3206
SOBOCIŃSKI,3205
GAJEK,3193
TABOR,3190
KĄKOL,3188
SARNOWSKI,3180
WISZNIEWSKI,3180
MARCZEWSKI,3178
ŚWIERCZ,3178
MISZCZAK,3176
GUZ,3174
KULAS,3173
KOŁACZ,3169
ŁAKOMY,3160
SZAFRAN,3160
TURSKI,3158
MUSIOŁ,3155
CZERWONKA,3154
MIREK,3154
RYBIŃSKI,3153
MACHNIK,3151
PODSIADŁO,3151
ŚLIWKA,3147
TUSZYŃSKI,3147
ROKITA,3145
RYCHLIK,3145
BUDNY,3140
STRZAŁKOWSKI,3139
GOŁASZEWSKI,3138
GIZA,3137
BRYŁA,3136
SŁOMKA,3136
JACKIEWICZ,3132
MIKUŁA,3128
FURTAK,3123
GAŁUSZKA,3123
KORNACKI,3122
SEWERYN,3122
SZUBERT,3120
WNĘK,3120
CZUBAK,3115
SŁOMIŃSKI,3115
ANTKOWIAK,3112
IWANIUK,3111
DREWNIAK,3108
KŁOSIŃSKI,3105
JOŃCZYK,3103
LUDWICZAK,3101
NYCZ,3100
PIEŃKOWSKI,3099
BARTKOWSKI,3098
BOJANOWSKI,3098
DWORAK,3091
SZCZOTKA,3090
RUMIŃSKI,3089
DĘBICKI,3085
MAKAREWICZ,3082
MIZERA,3082
GÓRALSKI,3080
MAŁOLEPSZY,3080
LEWCZUK,3079
CHOJECKI,3077
DANIEL,3072
MARCINKIEWICZ,3072
WILCZEWSKI,3065
ZIOMEK,3065
WĘGLARZ,3064
DAWID,3063
DUDKIEWICZ,3060
KASPERSKI,3054
NAPIÓRKOWSKI,3053
RADZIKOWSKI,3053
GĄSKA,3051
SZOSTEK,3051
ŁUGOWSKI,3050
PILARCZYK,3048
SOBCZYŃSKI,3047
KALBARCZYK,3042
CIEŚLIŃSKI,3034
SMYK,3034
DUL,3033
RĄCZKA,3033
KALITA,3031
RYBACKI,3031
MASTALERZ,3029
BOROWIAK,3023
KLONOWSKI,3012
WIERZCHOWSKI,3012
KOMAR,3011
CHYLIŃSKI,3009
RADWAŃSKI,3009
