IMIĘ_PIERWSZE,LICZBA_WYSTĄPIEŃ
AMANDA,5538
SŁAWOMIRA,5449
FLORENTYNA,5432
LILIA,5394
IDA,5284
WIERA,5268
LUCJA,5249
EMMA,5100
LIUBOV,5042
LILLA,5027
ZYTA,4978
KUNEGUNDA,4897
OLEKSANDRA,4877
MAYA,4806
YANA,4620
ALLA,4590
KAMILLA,4471
OLIMPIA,4456
MARCELA,4404
EDWARDA,4305
KLEMENTYNA,4239
MIRELA,3908
SEWERYNA,3903
BALBINA,3863
FILOMENA,3844
LILA,3777
LILIIA,3775
LEONTYNA,3672
FAUSTYNA,3649
MARYLA,3628
KSENIA,3592
MARCJANNA,3511
SAMANTA,3404
ALONA,3392
EDELTRAUDA,3360
ALEXANDRA,3256
ERNA,3192
SOFIIA,3142
SOFIA,3124
PETRONELA,3112
BERTA,3071
GAJA,3068
AMALIA,3046
ANGELINA,3044
MARIANA,3037
VIKTORIA,2952
IVANNA,2948
OKTAWIA,2947
VERONIKA,2945
LUBA,2933
ZOJA,2849
RUTA,2836
VALERIIA,2797
PAMELA,2776
BOGNA,2724
KHRYSTYNA,2720
WANESSA,2689
KRZYSZTOFA,2666
DOMICELA,2664
GERDA,2533
MIRELLA,2492
JAGNA,2486
CLAUDIA,2436
LESIA,2418
NOEMI,2418
IRMGARDA,2356
VIRA,2319
HELGA,2314
LEONIA,2300
INEZ,2292
NEL,2279
EULALIA,2243
MARIYA,2190
SOPHIE,2183
JAROSŁAWA,2182
STELLA,2180
ALENA,2166
PRAKSEDA,2128
ANGELA,2099
OLA,2078
EMILY,2074
ZINAIDA,2073
MICHELLE,2013
RAISA,2002
NATALIYA,1984
BERNARDYNA,1975
OTOLIA,1957
YEVHENIIA,1957
EUFEMIA,1952
SARAH,1940
TOLA,1923
MARINA,1895
YELYZAVETA,1839
MIRIAM,1825
YULIYA,1824
IZA,1820
ERIKA,1819
IRINA,1808
INES,1799
ANTONIA,1787
OLESIA,1786
ROMA,1784
LEA,1778
RUSLANA,1774
AUGUSTYNA,1774
ARLETTA,1763
JAŚMINA,1724
EMA,1722
GALYNA,1695
MANUELA,1687
KLAUDYNA,1686
MARIETTA,1686
GRETA,1685
BENEDYKTA,1681
BLANDYNA,1666
NATALIE,1663
LUBOMIRA,1620
ANASTASIYA,1611
WINCENTYNA,1608
POLINA,1605
VITA,1600
KORNELA,1590
EVA,1587
DOBROSŁAWA,1571
TATSIANA,1566
GABRYELA,1537
WILHELMINA,1506
LIDIIA,1499
KARYNA,1478
WALESKA,1477
NATALLIA,1470
LIGIA,1466
HANKA,1441
MARHARYTA,1438
SCHOLASTYKA,1437
ANA,1418
VOLHA,1407
MYROSLAVA,1406
MILA,1391
KRISTINA,1389
ULIANA,1380
ANDREA,1364
MARTINA,1357
ERNESTYNA,1356
ZHANNA,1348
WIRGINIA,1347
BOGDANA,1326
JÓZEFINA,1320
SOPHIA,1315
KATSIARYNA,1300
TETYANA,1295
ANZHELA,1292
INGEBORGA,1291
BENIGNA,1290
IULIIA,1276
VERONICA,1264
LARA,1259
LINDA,1243
HERMINA,1243
KSAWERA,1237
NICOL,1233
IRMA,1225
LIVIA,1221
ALA,1220
WANESA,1220
GALINA,1219
DARYNA,1211
ANASTASIA,1211
CELESTYNA,1209
DŻESIKA,1198
SERAFINA,1183
MALINA,1176
JENNIFER,1172
NIKOL,1164
GANNA,1161
MAJKA,1155
ANHELINA,1155
MARITA,1145
PATRICIA,1139
KSENIIA,1133
GLORIA,1127
ISABELLA,1121
ADAMINA,1113
IWONNA,1105
SIMONA,1105
EMANUELA,1093
MIRA,1087
ALISA,1087
JANA,1081
LUDWINA,1074
ADOLFINA,1074
LUDOMIRA,1072
DAJANA,1068
ANIKA,1055
INGRID,1016
SABRINA,1012
ELZA,1006
ALOJZA,1006
SYLWESTRA,989
EUFROZYNA,984
IDALIA,981
HANNAH,978
SVETLANA,976
BERENIKA,974
CARMEN,966
CAROLINE,947
NIKOLETTA,942
RAMONA,941
GABRIELLA,941
ELLA,936
DARYA,936
DARIIA,936
ŻAKLINA,932
LEONA,913
KIRA,910
SVIATLANA,907
NELLY,906
EMILA,900
MARYIA,895
BOHDANA,883
DALIA,878
LIUDMILA,878
SWIETŁANA,878
VALENTINA,876
EUDOKIA,875
INA,872
SYBILLA,869
ALICE,867
ELIZABETH,860
NAOMI,858
LILY,852
ZORIANA,852
HIERONIMA,850
MILANA,848
NADIYA,846
HERONIMA,839
MICHAELA,839
FRYDERYKA,838
MARIE,835
ADOLFA,831
ALICIA,831
SŁAWA,818
LYUDMYLA,817
ZENAIDA,810
NELIA,797
GRACJANA,796
WINCENTA,794
MARGARETA,793
BIANCA,789
MARGARITA,783
BERNARDETA,780
VIOLETA,774
SNIZHANA,771
INKA,770
CYRYLA,770
ŻANETTA,758
HANA,757
VIKTORYIA,757
LILLY,755
ELA,751
SZARLOTA,751
ROXANA,747
AUGUSTA,746
MARGOT,744
YAROSLAVA,741
KAYA,732
VLADYSLAVA,732
LESŁAWA,728
LYUBOV,723
LINA,720
BENITA,714
NARCYZA,710
KARIN,707
MODESTA,706
ARIANA,699
ABIGAIL,696
CAROLINA,696
ANZHELIKA,695
DOBROCHNA,688
MONICA,678
EKATERINA,678
LUCJANNA,671
JESIKA,665
DOBRAWA,664
JULITTA,664
KASANDRA,655
LEONORA,652
EUNIKA,646
ELISABETH,636
ALMA,631
ZOIA,631
DAGNA,628
CRISTINA,618
JESSIKA,617
BIBIANNA,615
HERTA,614
ORIANA,614
MELISA,609
RADOSŁAWA,609
VIKTORIYA,607
RUTH,602
YEVA,600
MELISSA,594
ROZWITA,593
ZOE,592
ZLATA,592
PARASKIEWIA,592
WALTRAUDA,590
ARINA,588
ALIAKSANDRA,586
NATHALIE,580
FATIMA,577
LISA,572
ADELINA,571
VASYLYNA,571
ALBERTYNA,571
JASMINA,569
GIULIA,568
MAIA,564
SOLOMIIA,564
DINA,563
MARIETA,559
RYTA,558
CLARA,557
LARISA,557
ANICETA,557
JASMIN,553
NELLA,552
SELENA,550
IRMGARD,548
WŁODZIMIERA,548
NIKOLINA,546
INGRIDA,543
MIŁOSŁAWA,542
VERA,538
ELISA,537
SILVIA,535
DIONIZA,534
ILZA,530
IZOLDA,528
YANINA,528
AGNES,514
DANA,512
DELFINA,511
EVELINA,511
EDMUNDA,510
DOBROMIŁA,510
HILDA,509
SYLVIA,508
VERANIKA,508
LEILA,507
GUSTAWA,503
SAMANTHA,503
WERA,500
WIELISŁAWA,499
MIRANDA,498
WALBURGA,497
CHARLOTTE,497
LILIYA,496
AURORA,495
LILI,491
NIKOLETA,491
TAISA,490
FILIPINA,488
CATHERINE,488
FRYDA,484
LUBOW,484
MARTHA,484
LETYCJA,484
MELANIE,482
NELL,480
AURELA,478
IZYDORA,478
LAILA,474
NATASHA,471
MAIIA,467
VIVIEN,467
SATURNINA,464
MARIAM,461
JOLENTA,460
JULIANA,459
KORDULA,459
KATHERINE,459
NIKA,453
SOFIYA,453
AKSANA,452
ALOJZJA,452
KATHARINA,448
LUKRECJA,445
SUSANNA,444
HALSZKA,443
LUCIA,442
VARVARA,438
ANIDA,436
KAREN,435
ELINA,431
LUDGARDA,427
KSENIYA,424
ARIADNA,421
KSYMENA,418
AMINA,415
LAYLA,414
ISMENA,414
NOA,412
TAISIIA,412
YAEL,409
LIZA,408
ANDŻELINA,408
FLORIANNA,408
ROKSOLANA,408
ZEFIRYNA,407
LIANA,406
VALERYIA,405
JACQUELINE,404
ANGELICA,402
EUZEBIA,400
KONSTANTYNA,400
KAROLA,398
JASMINE,398
KAMILIA,396
CHRISTINE,396
CHIARA,394
JELENA,394
BETINA,393
SYLWINA,393
JESICA,392
LAURENCJA,392
ZBIGNIEWA,392
ELVIRA,388
KLOTYLDA,386
IWETTA,385
FELICYTA,385
ALESIA,383
LUDOMIŁA,381
LIA,379
TAMAR,371
DEBORA,371
KRYSTSINA,371
AŁŁA,369
TINA,369
IWETA,368
GRACJA,365
CHRISTINA,364
RUT,363
MARGARET,362
ALIONA,361
MARIJA,361
VITALINA,361
JOHANNA,359
HIACYNTA,352
ISABELLE,350
SAMIRA,349
RACHELA,349
PALINA,348
ZYGFRYDA,348
NICOLETTA,348
MATILDA,347
IANA,346
HILARIA,344
TADEUSZA,344
PAOLA,343
LILLI,342
FRIEDA,342
AMY,341
STEPHANIE,340
THI,339
TAMILA,339
VALERIA,339
ANNE,338
ŻANNA,338
AIDA,336
NADINE,336
MICHAL,334
LIZAVETA,334
NADZEYA,333
LESYA,331
MIRONA,331
FRANCESCA,330
KESJA,329
ANDRZELIKA,329
ISABEL,327
HILDEGARD,327
GAIA,325
CHLOE,325
IRENE,325
INGRYDA,323
KRYSPINA,323
EMILIE,322
ZOYA,321
NELLI,321
NADIEŻDA,320
VITALIIA,320
VALIANTSINA,320
YULIA,319
AMELIE,318
LUCY,317
LUNA,315
JULIE,314
LUBOMIŁA,314
LEOPOLDA,310
WALTRAUD,310
OXANA,309
ARIANNA,306
MARY,304
WALTRAUT,303
DORIS,302
RACHEL,300
LUISA,299
ROSA,297
BOGDA,297
YASMIN,295
ELENI,294
NATALYA,293
SOFIJA,291
ROZA,288
ERWINA,288
KRYSTIANA,286
SONJA,284
ASTRID,284
ULYANA,284
LARISSA,283
YARYNA,282
ELIGIA,281
ANIA,280
ARLENA,280
ELIANA,280
EMILIIA,280
RENA,279
ALODIA,279
ANDRIANA,278
MARGOTA,277
URSULA,276
CARLA,274
CAMILLA,273
NASTAZJA,272
EDELTRAUD,272
LUCJANA,271
SUSANNE,270
SWITŁANA,270
ALESSANDRA,270
INGEBORG,269
VIVIENNE,269
EDWINA,268
DOLORES,268
MEGAN,267
WIEŃCZYSŁAWA,267
LORENA,266
EDITH,265
KARMEN,265
SHARON,265
LEYLA,264
ANJA,263
ROBERTA,263
CORNELIA,262
MIKA,261
MADINA,261
ADI,260
DZIYANA,260
ANATOLIA,259
PARASKIEWA,259
KATIA,258
GERTRUD,258
NASTASSIA,258
PETRA,257
LEONIDA,257
RAFAELA,256
ALESSIA,255
AMIRA,251
NINO,248
AISHA,248
FABIOLA,248
KONRADA,248
LUDMILA,248
MALIKA,247
WISŁAWA,246
INESA,245
DORA,244
LIDIYA,243
HELEN,242
NASTIA,241
ANZELMA,240
FRIDA,239
SUSAN,239
LYDIA,238
KAMELIA,237
HENRIETA,237
KATARINA,236
YELIZAVETA,236
EDELTRAUT,234
SYNTIA,233
CAMILA,231
REBECCA,231
ROSE,230
ZINA,230
KATRIN,230
PAULINE,229
CHANTAL,228
CYNTHIA,225
SOFIE,224
ESTHER,223
KOLETA,223
MARGARYTA,223
FATMA,222
IWONKA,222
ELIZAVETA,222
HANNELORE,222
YULIANA,221
GRACE,220
ZELMA,218
BIRUTA,218
MARYAM,218
VLADA,217
ORYSIA,217
ANAT,216
WITOLDA,216
LEAH,215
YVONNE,214
DAMIANA,214
NADJA,213
JAGIENKA,213
AGATHA,211
JUTA,210
TAL,208
CEZARIA,208
ALBERTA,207
MARGARETE,207
ELLI,206
GABRIELLE,206
DYONIZA,204
NATALIJA,204
PATRIZIA,204
KORYNA,203
NADIJA,203
KIARA,202
SALWINA,202
TATJANA,202
YAUHENIYA,202
ELMIRA,201
ZYGMUNTA,201
STELA,200
ZOSIA,200
MARYANA,200
REBEKA,199
VIRGINIA,199
SUZANNE,198
VIVIANA,198
ZARA,196
TEREZA,196
AGRYPINA,196
KARLA,195
NOELIA,195
ELIF,194
LIDA,194
BLANCA,194
FLORA,192
MILLA,192
RAJMUNDA,192
IEVGENIIA,192
SALMA,191
TOMIRA,191
DEBORAH,191
KWIRYNA,191
SHIRA,190
INEZA,189
SIMONE,189
SUZANNA,189
SUSANA,188
KASJANA,187
DENISE,186
DĄBRÓWKA,186
RONI,185
ILIANA,185
STANISLAVA,185
JENNY,184
MERVE,184
KATERINA,184
ECATERINA,184
DANIELLE,182
INESSA,181
PARASKA,181
VITTORIA,181
INHA,180
VIVIAN,180
THỊ,179
EDITA,179
SALOMEJA,179
ANNA-MARIA,178
ANNEMARIE,177
ROMINA,176
ZUZANA,176
HERMENEGILDA,176
JOLA,175
KARINE,175
TACJANA,174
SELMA,173
HEDWIG,173
PALOMA,173
IMAN,172
ESTER,172
ŁARYSA,172
AYA,171
NORA,171
ALEKSA,171
JULIETTE,171
HANIA,170
CHANEL,170
BETTINA,170
SCARLETT,170
VALERIYA,170
LUCIE,169
VANESA,169
ANATOLA,169
PARASKEWIA,169
IRIS,168
IRAIDA,168
OLESYA,168
BEATRIZ,168
SYDONIA,168
ANNAMARIA,168
BRUNHILDA,168
ROSEMARIE,168
NELI,167
WILMA,167
ZEYNEP,167
KATHRIN,167
BERNADYNA,167
JUTTA,165
TATYANA,165
JULIETTA,165
ANNELIESE,164
ANNETTE,163
CHRISTA,163
WITA,162
IVANA,162
EVELYN,162
HELENE,162
MARINE,162
CECILIA,162
NADEJDA,162
BELLA,161
ANNIKA,159
YASMINE,159
KATE,158
CLAIRE,158
KATRINA,158
NADEZHDA,158
LOUISE,157
RUFINA,156
MATRONA,156
NEONILA,155
TAIDA,154
EMILIYA,154
IULIA,153
KAYLA,153
MALVINA,153
AFRODYTA,153
KELLY,151
DENISA,151
NICOLL,151
CHARLOTTA,151
FERDYNANDA,151
ELSA,150
AMBER,150
HEIDI,150
FEBRONIA,149
KIM,148
ARYNA,148
KHAVA,148
GISELA,148
LOLITA,148
ŻAKLIN,148
JOSEPHINE,148
LEOPOLDYNA,148
PRZEMYSŁAWA,148
LOLA,147
RAQUEL,147
HENRIETTA,147
MARGERITA,147
AVA,146
CYNTIA,146
RADZISŁAWA,146
ANDŻELA,145
SYLWANA,145
STEFANIIA,145
LANA,144
MAURA,144
BRIGITTE,144
MERCEDES,144
DARINA,143
MARION,143
MAKSYMILIANA,143
LILIAN,142
SYBILA,142
JULIETA,142
KASIA,141
ALWINA,141
SABINE,141
GEORGINA,141
EUSTACHIA,141
DOROTHEA,140
DOMINIQUE,140
NILA,139
KATJA,139
MARÍA,139
ADELHEID,139
CINDY,138
ANŻELIKA,138
BEATRYCZE,138
DAIANA,137
FABIANA,137
JUSTINE,137
LORETTA,137
SEDA,136
NANCY,136
WIWIANA,136
RENISŁAWA,136
LÉA,135
YUVAL,135
WITOSŁAWA,135
ELLEN,134
LENKA,134
LAUREN,134
GERARDA,134
KEREN,133
YASMINA,133
KAMA,132
META,132
ILANA,132
BEATRICE,132
KRISTINE,132
TELIMENA,132
NONNA,130
BIBIANA,130
STEFANIE,130
ANN,129
ARETA,129
JUDITH,129
MIHAELA,129
ANI,128
KATIE,128
MATHILDE,128
TARSYLIA,128
KORA,127
LIJA,127
EUGIENIA,127
FLORIANA,127
RYMMA,126
TANIA,126
XENIA,126
XYMENA,126
ARKADIA,126
VIORICA,126
JANKA,125
CAMILLE,125
ZYGRYDA,125
EMILIANA,125
WALDEMARA,125
CARINA,124
ZARINA,124
LETICIA,124
TACJANNA,124
ASHLEY,123
LIUBOU,123
ADELAIDA,123
DAROMIŁA,123
EUDOKSJA,123
ANASTASIJA,123
BERNARDETTA,123
MARGITA,122
ZUZA,121
AGAFIA,121
MALENA,121
MARISA,121
ROMANIA,121
ROSWITA,121
FERNANDA,121
ESRA,120
HILA,120
AYLIN,120
FIONA,120
ALEXIA,120
ANAHIT,120
MILADA,120
WŁODZISŁAWA,120
JULIJA,119
NIKITA,119
LILLIAN,119
ROSANNA,119
ANNABELLE,119
MADELEINE,119
ELIDIA,118
GABRIELE,118
INGE,117
MONA,117
NARINE,117
RENATE,117
DANIELLA,117
ITA,116
MOLLY,116
DOMICELLA,116
PIA,115
MINA,115
LUSINE,115
ISABELL,115
IWA,114
NANA,114
KHEDA,114
NATIA,114
GAYANE,114
DAMARIS,114
ALEVTYNA,114
AMIT,113
LIAT,113
JANET,113
OŁENA,113
DALILA,113
IGNACJA,113
TIFFANY,113
KAIA,112
NOGA,112
RODICA,112
SIGRID,112
ZENAJDA,112
KIMBERLY,112
OFELIA,111
ELFRIEDA,111
MARIANNE,111
EDELTRUDA,111
BEATE,110
MELITA,110
TRAUTA,110
LIUBA,109
DAGMAR,109
KORINA,109
SUZANA,109
JEANETTE,109
ASIA,108
VIOLA,108
BOZHENA,108
DOROTHY,108
ELFRIEDE,108
CASSANDRA,108
LIUBOMYRA,108
LUDOSŁAWA,108
AYŞE,107
YELENA,107
ALIA,106
FLAVIA,106
GERMANA,106
SHIR,105
LEONIE,105
OLESEA,105
KARIONA,105
LUCIANA,105
KSAWERYNA,105
TARA,104
LILIT,104
SELIN,104
VANDA,104
LIDWINA,104
FEDERICA,104
DOBROMIRA,104
IWANNA,103
SASKIA,103
GIZELLA,103
CATERINA,103
GAL,102
MAKKA,102
FARIDA,102
MARYSIA,102
YASEMIN,102
GIOVANNA,102
NETA,101
DAGNY,101
EMINE,101
LOTTA,101
DARIYA,101
LILIJA,101
MERYEM,101
RAYANA,101
GRYZELDA,101
LECHOSŁAWA,101
AYLA,100
ILSE,100
RIMA,100
AHAFIA,100
REHINA,100
JANETTA,100
ZORYANA,100
STEPANIIA,100
ARIA,99
ALEJANDRA,99
FRANZISKA,99
HORTENSJA,99
SAWA,98
ERICA,98
KLARYSA,98
FLORENCIA,98
MIEROSŁAWA,98
FREDA,97
DILARA,97
HASMIK,97
JANETA,97
SALOME,97
MICAELA,97
INDIA,96
IVONA,96
ROTEM,96
JUSTINA,96
MICHELE,96
CHLOÉ,95
DAISY,95
SHANI,95
BRIGIDA,95
GIORGIA,95
MONIQUE,95
PETIMAT,95
MIJA,94
ELISE,94
JOANA,94
NAIRA,94
BRENDA,94
CELINE,94
SORAYA,94
MIROSLAVA,94
NONA,93
ORIT,93
ALANA,93
DOINA,93
SOFYA,93
MARTIKA,93
KARALINA,93
ANDRZELINA,93
CHANA,92
HADAR,92
AMINAT,92
IMELDA,92
MYRIAM,92
MICHELA,92
FLORENCE,92
YEVHENIYA,92
MAI,91
ANYA,91
ASYA,91
JANE,91
TALI,91
NATALI,91
ROSITA,91
GEORGIA,91
ISABELA,91
PAVLINA,91
VALERIE,91
WITALIA,91
EVGENIYA,91
VIYALETA,91
NADZIEŻDA,91
YING,90
DERYA,90
IVETA,90
HELIODORA,90
ALIYA,89
RIMMA,89
WIOLA,89
ALFONSA,89
KATHRYN,89
MARCELLA,89
NICOLETA,89
EDELGARDA,89
MARGARETTA,89
LADA,88
THUY,88
MAAYAN,88
EVGENIIA,88
ELLIE,87
HOLLY,87
AMÉLIE,87
FLAWIA,87
CAROLIN,87
ERNESTA,87
KORALIA,87
ROSALIE,87
ANABELLA,87
ANNALIZA,87
SOLOMIYA,87
STEFANIYA,87
DIANE,86
EFRAT,86
NAAMA,86
SUZAN,86
AYELET,86
PHUONG,86
KAROLINE,86
KATHLEEN,86
ADELGUNDA,86
HANNELORA,86
ŚWIĘTOSŁAWA,86
TEA,85
YAN,85
BURCU,85
ORYNA,85
DALIDA,85
MARGIT,85
KERSTIN,85
MATHILDA,85
ELIDA,84
ARIELA,84
DINARA,84
ODETTA,84
DEONIZA,84
KHATUNA,84
KALIKSTA,84
MIŁA,83
NOAM,83
WIRA,83
MÁRIA,83
ARMINE,83
ARNIKA,83
NAWOJKA,83
ROSALIA,83
SELWINA,83
ZINAJDA,83
NIKODEMA,83
FELICYTAS,83
WIĘCESŁAWA,83
JEKATIERINA,83
RUBY,82
ANETTE,82
MELODY,82
ELFRIDA,82
LYUDMILA,82
THU,81
GINA,81
JING,81
HADAS,81
LUZIE,81
TEONA,81
AUDREY,81
JOANNE,81
ORESTA,81
WENESA,81
ASTRYDA,81
BALWINA,81
FELICIA,81
JENIFER,81
VLADLENA,81
BONIFACJA,81
CANSU,80
EINAT,80
INBAL,80
GUDRUN,80
LOUISA,80
JARMILA,80
RUSŁANA,80
ZBYSŁAWA,80
ANZHALIKA,80
DANISŁAWA,80
VIKTORIJA,80
YEVGENIYA,80
LI,79
AMAL,79
ELİF,79
GIZEM,79
ALISON,79
CORINA,79
LORETA,79
LUDMYŁA,79
ANDRZEJA,79
DOMINICA,79
LUTOSŁAWA,79
BERNADETTE,79
ALBA,78
SILVANA,78
ATENA,77
BÜŞRA,77
CELIA,77
CHAJA,77
TESSA,77
ILARIA,77
ŁARISA,77
NADINA,77
ZAREMA,77
ESTELLE,77
HIACENTA,77
KRZESISŁAWA,77
MOR,76
CHEN,76
EBRU,76
MARIELA,76
BOŻYSŁAWA,76
EDEN,75
GAYA,75
MERI,75
ZAHRA,75
HAŁYNA,75
SYLVIE,75
MATILDE,75
NADEZDA,75
SZARLOTTA,75
ELISABETTA,75
THEA,74
DAFNA,74
MASZA,74
SASHA,74
MARKHA,74
AIGERIM,74
ANTANINA,74
KLAVDIIA,74
LILLIANA,74
NORBERTA,74
ESMERALDA,74
LIOR,73
ARIEL,73
JOLITA,73
SELINA,73
SERENA,73
LAWINIA,73
LUCYLLA,73
MAKSYMA,73
ROZANNA,73
ANGIELIKA,73
MAY,72
MELA,72
ALINE,72
SIBEL,72
TOSIA,72
CEZARA,72
AALIYAH,72
KETEVAN,72
LEONIŁA,72
ALEXA,71
ANABEL,71
LILIANE,71
MARLENE,71
CATALEYA,71
NOTBURGA,71
IAROSLAVA,71
MARŻOLENA,71
PRASKOWIA,71
RÓŻAMARIA,71
MARGARETHE,71
EDA,70
EMI,70
SEVDA,70
SONYA,70
SHEILA,70
MILENIA,70
ROXANNE,70
RADOMIŁA,70
RAFALINA,70
WALENTINA,70
ANKA,69
RADA,69
GALIA,69
LUANA,69
ZONIA,69
ALISHA,69
ANISJA,69
DORINA,69
LATIKA,69
LETIZIA,69
LUCYLIA,69
ELIZABET,69
INOCENTA,69
YULIANNA,69
FORTUNATA,69
VERONIQUE,69
LÉNA,68
MARI,68
ADELE,68
AICHA,68
KAYAH,68
HYGINA,68
JULIET,68
RENARDA,68
RUZANNA,68
LAETITIA,68
ZYGLINDA,68
JAQUELINE,68
ERIN,67
HONG,67
LIHI,67
INBAR,67
MORAN,67
TANYA,67
ZAIRA,67
SAFIYA,67
EWDOKIA,67
KLEOPATRA,67
IVA,66
LELA,66
LORA,66
NGOC,66
ROMI,66
ROMY,66
JÚLIA,66
LOTTE,66
SIVAN,66
THANH,66
INDIRA,66
REBECA,66
FABIENNE,66
OLESŁAWA,66
VASILISA,66
YEVDOKIIA,66
IELYZAVETA,66
LAN,65
EZGI,65
RINA,65
AISZA,65
ANISA,65
DONNA,65
GALIT,65
NELYA,65
ODETA,65
SOFÍA,65
ZENIA,65
ALEXIS,65
MELINA,65
LIDZIYA,65
THERESE,65
BOGDANNA,65
ANTONELLA,65
NICOLETTE,65
ANNA        MARIA,65
OR,64
IRA,64
IVY,64
BETTY,64
RANIA,64
ELODIE,64
KARENA,64
KARIMA,64
LUDMYLA,64
VIVIANE,64
BOHDANNA,64
CATALINA,64
GRACIELA,64
NATASCHA,64
CHRYSTYNA,64
BONAWENTURA,64
LEE,63
AMELA,63
FANNY,63
LEJLA,63
NADYA,63
RONIT,63
TANJA,63
AGATHE,63
MANANA,63
KARMELA,63
KSIENIA,63
WALTRUDA,63
INGEBURGA,63
JOLANTYNA,63
GALI,62
FAINA,62
GOHAR,62
NINEL,62
TALIA,62
KATALIN,62
SHIRLEY,62
THERESA,62
