Names,Totals
Bridget,1162287
Ari,1162680
Davina,1163071
Amelie,1163461
Amirah,1163851
Annika,1164241
Elora,1164631
Xiomara,1165021
Linda,1165410
Hana,1165797
Laney,1166184
Mercy,1166569
Hadassah,1166951
Madalyn,1167333
Louisa,1167714
Simone,1168095
Kori,1168475
Jillian,1168854
Alena,1169231
Malaya,1169608
Miley,1169984
Milan,1170359
Sariyah,1170734
Malani,1171105
Clarissa,1171475
Nala,1171845
Princess,1172215
Amani,1172584
Analia,1172953
Estella,1173321
Milana,1173687
Aya,1174052
Chana,1174412
Jayde,1174772
Tenley,1175132
Zaria,1175492
Itzayana,1175851
Penny,1176210
Ailani,1176568
Lara,1176926
Aubriella,1177283
Clare,1177640
Lina,1177997
Rhea,1178354
Bria,1178710
Thalia,1179066
Keyla,1179421
Haisley,1179775
Ryann,1180129
Addisyn,1180482
Amaia,1180835
Chanel,1181188
Ellen,1181541
Harmoni,1181894
Aliana,1182246
Tinsley,1182598
Landry,1182949
Paisleigh,1183300
Lexie,1183648
Myah,1183996
Rylan,1184344
Deborah,1184691
Emilee,1185038
Laylah,1185385
Novalee,1185732
Ellis,1186078
Emmeline,1186424
Avalynn,1186768
Hadlee,1187112
Legacy,1187456
Braylee,1187799
Elisabeth,1188142
Kaylie,1188485
Ansley,1188827
Dior,1189169
Paula,1189511
Belen,1189852
Corinne,1190193
Maleah,1190534
Martha,1190875
Teresa,1191216
Salma,1191556
Louise,1191895
Averi,1192233
Lilianna,1192571
Amiya,1192908
Milena,1193245
Royal,1193582
Aubrielle,1193917
Calliope,1194252
Frankie,1194587
Natasha,1194920
Kamilah,1195252
Meilani,1195584
Raina,1195916
Amayah,1196247
Lailah,1196578
Rayne,1196909
Zaniyah,1197240
Isabela,1197570
Nathalie,1197900
Miah,1198229
Opal,1198558
Kenia,1198886
Azariah,1199213
Hunter,1199540
Tori,1199867
Andi,1200193
Keily,1200519
Leanna,1200845
Scarlette,1201171
Jaelyn,1201496
Saoirse,1201821
Selene,1202146
Dalary,1202469
Lindsey,1202792
Marianna,1203115
Ramona,1203438
Estelle,1203760
Giovanna,1204082
Holland,1204404
Nancy,1204726
Emmalynn,1205047
Mylah,1205368
Rosalee,1205689
Sariah,1206009
Zoie,1206329
Blaire,1206648
Lyanna,1206967
Maxine,1207286
Anais,1207604
Dana,1207922
Judith,1208240
Kiera,1208558
Jaelynn,1208874
Noor,1209190
Kai,1209505
Adalee,1209819
Oaklee,1210133
Amaris,1210446
Jaycee,1210759
Belle,1211071
Carolyn,1211383
Della,1211695
Karter,1212007
Sky,1212319
Treasure,1212631
Vienna,1212943
Jewel,1213254
Rivka,1213565
Rosalyn,1213876
Alannah,1214186
Ellianna,1214496
Sunny,1214806
Claudia,1215115
Cara,1215422
Hailee,1215729
Estrella,1216035
Harleigh,1216341
Zhavia,1216647
Alianna,1216952
Brittany,1217257
Jaylene,1217562
Journi,1217867
Marissa,1218171
Mavis,1218475
Iliana,1218778
Jurnee,1219081
Aislinn,1219383
Alyson,1219685
Elsa,1219987
Kamiyah,1220289
Kiana,1220591
Lisa,1220893
Arlette,1221194
Kadence,1221495
Kathleen,1221796
Halle,1222096
Erika,1222394
Sylvie,1222692
Adele,1222988
Erica,1223284
Veda,1223580
Whitney,1223876
Bexley,1224171
Emmaline,1224466
Guadalupe,1224761
August,1225055
Brynleigh,1225349
Gwen,1225643
Promise,1225937
Alisson,1226230
India,1226523
Madalynn,1226816
Paloma,1227109
Patricia,1227402
Samira,1227695
Aliya,1227986
Casey,1228277
Jazlynn,1228568
Paulina,1228859
Dulce,1229149
Kallie,1229438
Perla,1229727
Adrienne,1230015
Alora,1230303
Nataly,1230591
Ayleen,1230878
Christine,1231165
Kaiya,1231452
Ariadne,1231738
Karlee,1232024
Barbara,1232309
Lillianna,1232594
Raquel,1232879
Saniyah,1233164
Yamileth,1233449
Arely,1233732
Celia,1234015
Heavenly,1234298
Kaylin,1234581
Marisol,1234863
Marleigh,1235145
Avalyn,1235426
Berkley,1235707
Kataleya,1235986
Zainab,1236265
Dani,1236543
Egypt,1236821
Joyce,1237099
Kenley,1237377
Annabel,1237654
Kaelyn,1237931
Etta,1238207
Hadleigh,1238483
Joselyn,1238759
Luella,1239035
Jaylee,1239310
Zola,1239585
Alisha,1239859
Ezra,1240133
Queen,1240407
Amia,1240680
Annalee,1240953
Bellamy,1241226
Paola,1241499
Tinley,1241772
Violeta,1242045
Jenesis,1242317
Arden,1242588
Giana,1242859
Wendy,1243129
Ellison,1243398
Florence,1243667
Margo,1243936
Naya,1244205
Robin,1244474
Sandra,1244743
Scout,1245012
Waverly,1245281
Janessa,1245549
Jayden,1245817
Micah,1246085
Novah,1246353
Zora,1246621
Ann,1246888
Jana,1247155
Taliyah,1247422
Vada,1247687
Giavanna,1247951
Ingrid,1248215
Valery,1248479
Azaria,1248742
Emmarie,1249005
Esperanza,1249268
Kailyn,1249530
Aiyana,1249791
Keilani,1250052
Austyn,1250312
Whitley,1250572
Elina,1250831
Kimora,1251090
Maliah,1251349
Paityn,1251608
Evalyn,1251866
Luz,1252123
Nathalia,1252380
Winnie,1252637
Chandler,1252893
Ciara,1253149
Danica,1253405
Nailah,1253661
Rilynn,1253917
Adilynn,1254172
Brenda,1254427
Dixie,1254681
Kassandra,1254935
Raylee,1255189
Salem,1255443
Abril,1255696
Desiree,1255949
Farrah,1256202
Nathaly,1256455
Robyn,1256708
Carla,1256960
Bryleigh,1257211
Kaya,1257462
Yasmin,1257713
Angelique,1257963
Emilie,1258213
Kaylynn,1258463
Emerald,1258712
Indie,1258961
Tara,1259210
Alisa,1259458
Ayva,1259706
Denver,1259954
Eleanora,1260202
Jaylynn,1260450
Sarahi,1260698
Aadhya,1260944
Cordelia,1261190
Jovie,1261436
Marlowe,1261682
Zion,1261928
Aranza,1262173
Breanna,1262418
Kailee,1262662
Magdalena,1262906
Spencer,1263150
Ayana,1263393
Elodie,1263636
Emiliana,1263879
Dalia,1264121
Flora,1264363
Harriet,1264605
Karlie,1264846
Kenya,1265087
Aminah,1265327
Mattie,1265567
Montserrat,1265807
Zendaya,1266047
Ainhoa,1266286
Cherish,1266525
Lilia,1266764
Sonia,1267003
Joslyn,1267241
Arleth,1267478
Fallon,1267715
Renee,1267952
Carlee,1268188
Denise,1268424
Mercedes,1268660
